portfolio,symbol
SA Quant Rating,ALLY
SA Quant Rating,BCEI
SA Quant Rating,COF
SA Quant Rating,COWN
SA Quant Rating,DAC
SA Quant Rating,DQ
SA Quant Rating,FLGT
SA Quant Rating,GSL
SA Quant Rating,IMPUY
SA Quant Rating,ING
SA Quant Rating,KEP
SA Quant Rating,LAZY
SA Quant Rating,LB
SA Quant Rating,LNVGY
SA Quant Rating,LODE
SA Quant Rating,MU
SA Quant Rating,OMI
SA Quant Rating,SBSW
SA Quant Rating,TX
SA Quant Rating,VSTO
SA Top Rated,ARLP
SA Top Rated,BBL
SA Top Rated,CEIX
SA Top Rated,COF
SA Top Rated,COWN
SA Top Rated,DAC
SA Top Rated,ENVA
SA Top Rated,HIBB
SA Top Rated,IMPUY
SA Top Rated,KEP
SA Top Rated,LAZY
SA Top Rated,LNVGY
SA Top Rated,MT
SA Top Rated,MU
SA Top Rated,NHYDY
SA Top Rated,NLS
SA Top Rated,OMI
SA Top Rated,SBSW
SA Top Rated,VALE
SA Top Rated,VSTO
