PORTFOLIO,SYMBOL

ATACX,ATACX
ATACX,IJR
ATACX,SCHA
ATACX,SPSM
ATACX,URTY
ATACX,WTRG
	
BASIC MATERIALS,FCX
BASIC MATERIALS,PALL
BASIC MATERIALS,TECK
BASIC MATERIALS,WPM

CANNABIS,ACB
CANNABIS,APHA
CANNABIS,CGC
CANNABIS,CRON
CANNABIS,CURLF
CANNABIS,CWBHF
CANNABIS,GRWG
CANNABIS,GTBIF
CANNABIS,HEXO
CANNABIS,OGI
CANNABIS,SMG
CANNABIS,TCNNF

GOLD & SILVER,AAAU
GOLD & SILVER,AEM
GOLD & SILVER,AG
GOLD & SILVER,AUY
GOLD & SILVER,CEF
GOLD & SILVER,DRD
GOLD & SILVER,EGO
GOLD & SILVER,FNV
GOLD & SILVER,GDX
GOLD & SILVER,GOAU
GOLD & SILVER,GOLD
GOLD & SILVER,NG
GOLD & SILVER,OR
GOLD & SILVER,PHYS
GOLD & SILVER,PSLV
GOLD & SILVER,RGLD
GOLD & SILVER,SGDM
GOLD & SILVER,SIL
GOLD & SILVER,SIVR
GOLD & SILVER,SLV

BDC,ARES
BDC,BIZD
BDC,CODI
BDC,MAIN
BDC,NEWT
BDC,ORCC


BIOTECH,ABBV
BIOTECH,AMGN
BIOTECH,BMY
BIOTECH,EXEL
BIOTECH,GILD
BIOTECH,ILMN
BIOTECH,INVA
BIOTECH,LLY
BIOTECH,MRK
BIOTECH,NVO
BIOTECH,NVS
BIOTECH,PFE
BIOTECH,REGN

BIOTECH Clinical Stage,DRNA
BIOTECH Clinical Stage,IONS
BIOTECH Clinical Stage,NKTR
BIOTECH Clinical Stage,IMGN


BIOTECH Breakthroughs,A
BIOTECH Breakthroughs,ACAD
BIOTECH Breakthroughs,ALXN
BIOTECH Breakthroughs,AMRN
BIOTECH Breakthroughs,ARGX
BIOTECH Breakthroughs,AVRO
BIOTECH Breakthroughs,AZN
BIOTECH Breakthroughs,BIIB
BIOTECH Breakthroughs,BIO
BIOTECH Breakthroughs,BMRN
BIOTECH Breakthroughs,CRSP
BIOTECH Breakthroughs,DGX
BIOTECH Breakthroughs,DHR
BIOTECH Breakthroughs,ESPR
BIOTECH Breakthroughs,HALO
BIOTECH Breakthroughs,IMMU
BIOTECH Breakthroughs,INO
BIOTECH Breakthroughs,IOVA
BIOTECH Breakthroughs,IQV
BIOTECH Breakthroughs,LGND
BIOTECH Breakthroughs,LH
BIOTECH Breakthroughs,LMNX
BIOTECH Breakthroughs,MRNA
BIOTECH Breakthroughs,PKI
BIOTECH Breakthroughs,RGEN
BIOTECH Breakthroughs,SDGR
BIOTECH Breakthroughs,TECH
BIOTECH Breakthroughs,TMO
BIOTECH Breakthroughs,VRTX
BIOTECH Breakthroughs,WAT

BONDS Corporate,ANGL
BONDS Corporate,FDHY
BONDS Corporate,FLDR
BONDS Corporate,LQD
BONDS Corporate,VCLT
BONDS Corporate,VCSH

BONDS Government,BIL
BONDS Government,EDV
BONDS Government,IEF
BONDS Government,SHV
BONDS Government,TLT
BONDS Government,USHY
BONDS Government,VGSH
BONDS Government,ZROZ

CEF,AOD
CEF,CHY
CEF,CRF
CEF,EVT
CEF,HQH
CEF,HQL
CEF,PTY
CEF,THQ
CEF,THW
CEF,USA

CLOUD Enterprise Applications,CRWD
CLOUD Enterprise Applications,CYBR
CLOUD Enterprise Applications,DT
CLOUD Enterprise Applications,MDB
CLOUD Enterprise Applications,NET
CLOUD Enterprise Applications,OKTA
CLOUD Enterprise Applications,TLND
CLOUD Enterprise Applications,TWLO
CLOUD Enterprise Applications,WORK
CLOUD Enterprise Applications,ZS
CLOUD Enterprise Applications,ZUO


CLOUD Small Cap,ANET
CLOUD Small Cap,AYX
CLOUD Small Cap,DOCRF
CLOUD Small Cap,FIVN
CLOUD Small Cap,FSLY
CLOUD Small Cap,HACK
CLOUD Small Cap,NEWR
CLOUD Small Cap,QLYS
